GOID,Title,Date,Source Type,Authors,Publication ID,Publication Title,Publisher City,Publisher Province,Publisher Name,Publisher ZipCode,Object Type,Language,Pages,Start Page,Company Name,Company NAIC,Subject Terms
433954769,Start-Ups Give Idaho An Identity Beyond Potatoes,2008-10-16,Newspapers,"['Flanigan, James']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,B.9,['Boise State University'],['611310'],"['High tech industries', 'Location of industry', 'Entrepreneurs', 'Green products', 'Startups']"
433956438,"Inside The Times: October 4, 2008",2008-10-04,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.2,,,"['Presidential elections', 'Holidays & special occasions', 'Governors', 'Bailouts']"
433956520,Arms Deal To Taiwan Riles China,2008-10-05,Newspapers,"['Shanker, Thom']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.12,,,"['International relations-US', 'Military sales']"
433962089,Today in Business,2008-10-02,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,C.2,,,"['Automobile industry', 'Tender offers', 'Hostile takeovers']"
433962092,Skype Text Is Monitored In China,2008-10-02,Newspapers,"['Markoff, John']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,C.1,"['eBay Inc', 'Skype Technologies SA']","['454112', '513210']","['Earthquakes', 'Data encryption', 'Information warfare', 'Activism', 'Cybersecurity', 'Colleges & universities']"
433962356,Inside the Times,2008-10-02,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.2,,,"['Criminal investigations', 'Rape', 'Sex crimes', 'Gangs']"
433968765,Chinese Execute 2 Convicted Of Spying,2008-11-29,Newspapers,"['Jacobs, Andrew']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.6,,,"['Diplomatic & consular services', 'Human rights', 'Capital punishment', 'Classified information', 'Espionage']"
433969215,"Inside the Times, Nov. 27, 2008",2008-11-27,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.2,,,"['Museums', 'Mistaken identity', 'Osteoporosis', 'Methamphetamine']"
433970105,"Inside The Times: Novemebr 29, 2008",2008-11-29,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.2,,,"['Suicide bombings', 'Agreements', 'Iraq War-2003', 'Demonstrations & protests', 'Death threats']"
433971195,Effort Made to Save Man China Convicted of Spying,2008-11-27,Newspapers,"['Jacobs, Andrew']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.18,,,"['Espionage', 'Capital punishment', 'Activism', 'Political prisoners', 'Human rights']"
433974641,"Inside the Times: November 20, 2008",2008-11-20,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.2,,,"['Same sex marriage', 'Iraq War-2003', 'Insurance industry', 'Political parties', 'Stem cells']"
433975653,"Man, 55, Is Shot to Death Delivering Meals for Charity",2008-11-11,Newspapers,"['Wilson, Michael']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.23,,,"['Fatalities', 'Criminal investigations', 'Food programs', 'Charities', 'Shootings']"
433976935,Demand for a Say on a Way Out of Crisis,2008-11-10,Newspapers,"['Barrionuevo, Alexei']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.6,['Group of Twenty'],,"['Economic forecasts', 'Financial performance', 'Economic conditions', 'Industrialized nations', 'Economic summit conferences']"
433984959,"Inside the Times: December 31, 2008",2008-12-31,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.2,,,"['Space shuttle', 'Food contamination & poisoning', 'Earthquakes']"
433992784,"Inside the Times, Dec. 11, 2008",2008-12-11,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.2,,,"['Capital punishment', 'Asthma', 'Air traffic control', 'Presidential elections']"
433994480,A Fighter Jet's Fate Poses A Quandary for Obama,2008-12-10,Newspapers,"['Drew, Christopher']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,B.1,,,"['National security', 'Armed forces', 'Defense spending', 'Military aircraft']"
433998162,Writers and Scholars Call for Chinese Dissident's Release,2008-12-24,Newspapers,"['Wong, Edward']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,,,"['Political dissent', 'Letters', 'Human rights', 'Political prisoners']"
434012783,U.S. Report On the Death Of a Detainee Is Scathing,2009-01-16,Newspapers,"['Bernstein, Nina']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.14,['US Immigration & Customs Enforcement'],['921130'],"['Medical treatment', 'Criminal investigations', 'Health care access', 'Detention centers', 'Prisoner treatment', 'Noncitizens']"
434037270,"Despite Officials' Efforts, Tibetans Greet New Year in Solemn Opposition",2009-02-26,Newspapers,"['Wong, Edward']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.6,,,"['New year', 'Boycotts', 'Political dissent', 'Minority & ethnic groups', 'Monks']"
434038750,China's Answer to a Crime Includes Amateur Sleuths,2009-02-25,Newspapers,"['Jacobs, Andrew']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,,,"['Volunteers', 'Police brutality', 'Provincial government', 'Fatalities', 'Internet', 'Criminal investigations', 'Prisoner treatment']"
434039200,Clinton Paints China Policy With a New Green Hue,2009-02-22,Newspapers,"['Landler, Mark']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,,,"['Human rights', 'Industrial plant emissions', 'Greenhouse gases', 'International relations-US -- China']"
