GOID,Title,Date,Source Type,Authors,Publication ID,Publication Title,Publisher City,Publisher Province,Publisher Name,Publisher ZipCode,Object Type,Language,Pages,Start Page,Company Name,Company NAIC,Class Terms,Subject Terms
871246002,Ex-Official For N.S.A. Accepts Deal In Leak Case,2011-06-11,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.14,,,,['Leaking of information']
871305427,Somalis Kill Man Behind Bombings Of U.S. Embassies,2011-06-12,Newspapers,"['Gettleman, Jeffrey']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,['Al Qaeda'],['813940'],,"['Bombings', 'Assassinations & assassination attempts', 'Fatalities']"
872419126,Japanese 'K' Computer Is Ranked Most Powerful,2011-06-20,Newspapers,"['Kopytoff, Verne G']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,B.6,,,,"['Supercomputers', 'Ratings & rankings', 'Computer science', 'Competition', 'Computers']"
872423235,U.S. Pressing Its Crackdown Against Leaks,2011-06-18,Newspapers,"['Scott, Shane']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,['Fox News Channel'],['515120'],,"['Classified information', 'Leaking of information', 'Criminal investigations', 'Prosecutions']"
872573504,"Upending Anonymity, These Days the Web Unmasks Everyone",2011-06-21,Newspapers,"['Stelter, Brian']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,,,,"['Biometrics', 'Internet', 'Right of privacy', 'Cameras', 'Invasion of privacy']"
873112664,"In G.O.P. Presidential Race, a Focus on Cash Over Votes",2011-06-22,Newspapers,"['Zeleny, Jeff']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.10,['Republican Party'],['813940'],,"['Candidates', 'Presidential elections', 'Reporting requirements', 'Meetings', 'Political finance', 'Fund raising']"
873485244,Veteran of Iraq War Now Fights His Own Deportation,2011-06-24,Newspapers,"['Nesmith, Susannah']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.16,,,,"['Citizenship', 'Deportation']"
873485441,Long Road to Capture,2011-06-24,Newspapers,"['Moore, Lori']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.17,,,,"['Racketeering', 'Indictments', 'Public hearings', 'Murders & murder attempts']"
874006142,The Judge Who Cracked the Bulger Case,2011-06-29,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.22,,,,"['Federal court decisions', 'Obstruction of justice', 'Court hearings & proceedings', 'Editorials', 'Organized crime', 'Judges & magistrates']"
874290948,Mob Figure May Unearth Corruption of Lawmen,2011-07-01,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,['Federal Bureau of Investigation--FBI'],,,"['Competition', 'Criminal investigations', 'Obstruction of justice', 'Court decisions', 'Organized crime', 'Fugitives', 'Arrests', 'Police corruption', 'Informers']"
874408571,Obama Nominates Counterterrorism Center Director,2011-07-02,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.13,,,,['Counterterrorism']
876036377,Calendar,2011-07-13,Newspapers,"['Fabricant, Florence']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,D.4,,,,
876982488,No Jail Time in Trial Over N.S.A. Leak,2011-07-16,Newspapers,"['Scott, Shane']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.13,['National Security Agency'],['928110'],,"['Classified information', 'Indictments', 'Legal fees', 'Court hearings & proceedings', 'Leaking of information', 'Convictions', 'Parole & probation', 'Trials']"
876982522,Republicans Hold Up Vote On Extension Of F.B.I. Term,2011-07-16,Newspapers,"['Savage, Charlie']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.13,"['Federal Bureau of Investigation--FBI', 'Republican Party']",['813940'],,"['National security', 'Hearings & confirmations']"
877800819,Murdoch Aides Long Obscured Scandal's Scale,2011-07-19,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,"['News of the World', 'News Corp']","['511110', '511110', '515120', '551112']",,"['Executives', 'Police corruption', 'Hackers', 'Journalistic ethics', 'Scandals', 'Victims of crime', 'Arrests', 'Quarantine', 'Electronic surveillance']"
878760116,The City Payroll May Include a Few Too Many Bosses,2011-07-24,Newspapers,"['Mihalopoulos, Dan']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.21A,,,,"['Budgets', 'Mayors', 'Political appointments', 'Employees']"
878760149,Finding The Secret 11 Words,2011-07-24,Newspapers,"['Roberts, Sam']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,SR.12,['Department of Defense'],['928110'],,"['National security', 'Classified information', 'Vietnam War']"
878805453,Dodd-Frank Backers Clash With Regulator,2011-07-23,Newspapers,"['Appelbaum, Binyamin']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,B.1,['Office of the Comptroller of the Currency'],['926150'],,"['Regulation of financial institutions', 'Risk management', 'Wall Street Reform & Consumer Protection Act 2010-US']"
879668856,Ex-Counterterrorism Aide Warns Against Complacency on Al Qaeda,2011-07-29,Newspapers,"['Schmitt, Eric']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,"['Al Qaeda', 'Central Intelligence Agency--CIA']","['813940', '928110', '928120']",,"['Terrorism', 'National security', 'Counterterrorism']"
879851681,Judge Agrees to Limit Writer's Testimony,2011-07-30,Newspapers,"['Savage, Charlie']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.15,['Central Intelligence Agency--CIA'],"['928110', '928120']",,"['Classified information', 'Trials', 'Court hearings & proceedings', 'Testimony', 'Leaking of information', 'Freedom of the press', 'Reporters']"
880320785,Complaint Seeks Punishment for Classification of Documents,2011-08-02,Newspapers,"['Scott, Shane']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.16,"['National Security Agency', 'Department of Justice']","['928110', '922130']",,"['Classified information', 'Leaking of information', 'Complaints']"
880320807,Inside the Times,2011-08-02,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.2,,,,"['Radical groups', 'Demonstrations & protests']"
880793827,A Chef Finds Healing in Food,2011-08-03,Newspapers,"['Gordinier, Jeff']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,D.1,,,,"['Food', 'Chefs', 'Restaurants', 'Arthritis', 'Personal profiles', 'Diet']"
881439791,China's Premier Seeks Reforms And Relevance,2011-08-08,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,['Communist Party-China'],['813940'],,"['High speed rail', 'Railroad accidents & safety', 'Accident investigations', 'Censorship', 'Reforms']"
881941222,"For Murdoch, a Board Meeting With Friendly Faces",2011-08-10,Newspapers,"['Peters, Jeremy W']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,B.1,['News Corp'],"['511110', '515120', '551112']",,"['Boards of directors', 'Corporate governance', 'Scandals', 'Outside directors']"
881941275,Prosecutors Back Maximum Prison Term in Galleon Case,2011-08-10,Newspapers,"['Lattman, Peter']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,B.4,['Galleon Group'],['523920'],,"['Insider trading', 'Securities fraud', 'Hedge funds', 'Prosecutions', 'Criminal sentences']"
882524743,U.S. Relies on Contractors in Somalia Conflict,2011-08-11,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,"['Al-Shabaab', 'Bancroft Global Development', 'Central Intelligence Agency--CIA']","['813940', '561612', '928110', '928120']",,"['Military training', 'Contractors', 'Defense contracts', 'Covert operations']"
882984570,C.I.A. Is Disputed On Civilian Toll In Drone Strikes,2011-08-12,Newspapers,"['Scott, Shane']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,['Central Intelligence Agency--CIA'],"['928110', '928120']",,"['Military air strikes', 'International relations-US']"
882984655,"British Police Are Assailed by Politicians and Protesters, for Different Reasons",2011-08-12,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.8,,,,"['Violence', 'Riot control', 'Ammunition', 'Police']"
883419751,Sending the Police Before There's a Crime,2011-08-16,Newspapers,"['Goode, Erica']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.11,,,,"['Data mining', 'Crime prevention', 'Community policing', 'Arrests']"
884507560,Casualties on Both Sides as Israel and Gaza Trade Fire,2011-08-21,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.6,"['Hamas', 'Popular Resistance Committee']","['813940', '813940']",,"['Military air strikes', 'Fatalities', 'International relations', 'Palestinian people']"
885035585,Why Is That a Secret?,2011-08-25,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.26,"['Information Security Oversight Office', 'National Security Agency']","['921190', '928110']",,"['Government waste', 'Classified information', 'Editorials', 'Disclosure', 'Espionage', 'Whistleblowing']"
886534843,Inside the Times,2011-09-01,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.2,"['Legislature-California', 'California Conservation Corps']","['921120', '813410']",,['Automation']
887608897,Leak Offers Look At Efforts By U.S. To Spy On Israel,2011-09-06,Newspapers,"['Scott, Shane']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,['Federal Bureau of Investigation--FBI'],['922120'],,"['Diplomatic & consular services', 'Criminal sentences', 'Verbal communication', 'Congressional investigations', 'Espionage', 'Leaking of information', 'Blogs']"
888079815,Militant Band Claims Role In Western China Attacks,2011-09-09,Newspapers,"['Wines, Michael']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.10,,,,['Riots']
888231735,Intelligence Bill Advances in the House,2011-09-10,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.14,,,,
888331138,Court Case Asks If 'Big Brother' Is Spelled GPS,2011-09-11,Newspapers,"['Liptak, Adam']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,,,,
888331192,Civil Liberties Today,2011-09-11,Newspapers,"['Liptak, Adam']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,F.14,,,,"['USA PATRIOT Act 2001-US', 'Criminal law', 'Preventive detention', 'Civil liberties', 'Terrorism']"
889162042,C.I.A. Examining Legality of Work With Police Dept.,2011-09-14,Newspapers,"['Mazzetti, Mark']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.31,['Central Intelligence Agency--CIA'],"['928110', '928120']",,"['Congressional investigations', 'Intelligence gathering']"
890014543,"Beneath Hoodie, Many Layers of Belichick",2011-09-16,Newspapers,"['Sandomir, Richard']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,B.12,['NFL Network'],['515120'],,"['Professional football', 'Motion pictures', 'Documentary films']"
890639955,"Friends of U.S., Terrorists in Eyes of Law",2011-09-19,Newspapers,"['Frosch, Dan']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.14,,,,"['Immigration policy', 'Political asylum', 'Politics', 'Noncitizens']"
89124686,"Low Income, Top Scores: A School Defies the Odds",2010-04-26,Newspapers,"['Otterman, Sharon']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.18,,,,"['Learning', 'Mathematics teachers', 'Mathematics education', 'Core curriculum', 'Low income groups', 'Elementary schools', 'Academic achievement', 'Urban schools']"
89192841,White House Quietly Courts Muslims in U.S.,2010-04-19,Newspapers,"['Elliott, Andrea']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.1,,,,"['Policy making', 'Airline security', 'Civil liberties', 'Terrorism', 'Muslims']"
893244816,Split Decision and Barbed Comments Show a Court Deeply Divided on Wiretapping,2011-09-22,Newspapers,"['Lichtblau, Eric']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.15,['Department of Justice'],['922130'],,"['Federal court decisions', 'Electronic eavesdropping', 'Judges & magistrates', 'Civil rights']"
893244972,Public Said to Be Misled On Use of the Patriot Act,2011-09-22,Newspapers,"['Savage, Charlie']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.15,,,,"['USA PATRIOT Act 2001-US', 'National security', 'Criminal investigations', 'Surveillance of citizens', 'Intelligence gathering', 'Civil rights', 'Congressional hearings']"
894795554,Advocate's Visa Delay Stirs Questions,2011-09-30,Newspapers,"['Semple, Kirk']",11561,New York Times,NEW YORK,NY,New York Times Company,10018,Articles - All Types,English,,A.17,,,,"['Human rights', 'Civil liberties', 'Passports & visas']"
